source,id,publisher,city,borough,year,start_page,end_page,column_count,sample_page,key_page,page_offset,holding_institution,title,notes
nypl,4b5c40e0-317a-0134-e9c9-00505686a51c,Trow/Wilson,New York,Manhattan,1880/81,17,1702,2,21,,,NYPL,"New York City directory, 1880-1881",
nypl,4b5ff0e0-317a-0134-7e27-00505686a51c,Trow,New York,Manhattan,1881/82,17,1780,2,38,,,NYPL,"New York City directory, 1881-1882",
nypl,4b63a460-317a-0134-d3bd-00505686a51c,Trow,New York,Manhattan,1882/83,16,1829,2,53,,,NYPL,"New York City directory, 1882-1883",
nypl,4b66b460-317a-0134-8cb2-00505686a51c,Trow,New York,Manhattan,1883/84,17,1853,2,78,,,NYPL,"New York City directory, 1883-1884",
nypl,4b69a410-317a-0134-a570-00505686a51c,Trow,New York,Manhattan,1884/85,17,1940,2,36,,,NYPL,"New York City directory, 1884-1885",
nypl,4b6c95d0-317a-0134-f4e4-00505686a51c,Trow,New York,Manhattan,1885/86,17,2121,2,881,,,NYPL,"New York City directory, 1885-1886",
nypl,4b6f8210-317a-0134-ff86-00505686a51c,Trow,New York,Manhattan,1886/87,17,2166,2,1671,,,NYPL,"New York City directory, 1886-1887",
nypl,4b728f10-317a-0134-8c07-00505686a51c,Trow,New York,Manhattan,1887/88,17,2175,2,26,,,NYPL,"New York City directory, 1887-1888",
nypl,4b8e3f70-317a-0134-721a-00505686a51c,Trow,New York,Manhattan,1888/89,17,2191,2,64,,,NYPL,"New York City directory, 1888-1889",
nypl,4b939190-317a-0134-d1d5-00505686a51c,Trow,New York,Manhattan,1889/90,17,2191,2,1334,,,NYPL,"New York City directory, 1889-1890",
nypl,4b984650-317a-0134-f64d-00505686a51c,Trow,New York,Manhattan,1890/91,17,1400,3,50,15,-1,NYPL,"New York City directory, 1890-1891",
nypl,4b9caf50-317a-0134-2819-00505686a51c,Trow,New York,Manhattan,1891/92,17,1511,3,26,,,NYPL,"New York City directory, 1891-1892",
nypl,4ba0b0d0-317a-0134-fd44-00505686a51c,Trow,New York,Manhattan,1892/93,17,1570,3,29,,,NYPL,"New York City directory, 1892-1893",
nypl,4ba499d0-317a-0134-f240-00505686a51c,Trow,New York,Manhattan,1893/94,17,1546,3,23,,,NYPL,"New York City directory, 1893-1894",
nypl,4ba86fd0-317a-0134-2168-00505686a51c,Trow,New York,Manhattan,1894/95,17,1542,3,24,,,NYPL,"New York City directory, 1894-1895",
nypl,4bad7270-317a-0134-7104-00505686a51c,Trow,New York,Manhattan,1895/96,17,1588,3,26,,,NYPL,"New York City directory, 1895-1896",
nypl,4bb17a60-317a-0134-4347-00505686a51c,Trow,New York,Manhattan,1896/97,17,1602,3,21,,,NYPL,"New York City directory, 1896-1897",
nypl,4bb52700-317a-0134-6825-00505686a51c,Trow,New York,Manhattan,1897/98,17,1439,3,24,,,NYPL,"New York City directory, 1897-1898",
nypl,,Trow,New York,Manhattan,1898/99,,,,,,,NYPL,,
nypl,4bb82070-317a-0134-f978-00505686a51c,Trow,New York,Manhattan,1899/00,17,1407,3,23,,,NYPL,"New York City directory, 1899-1900",
nypl,4bbb2710-317a-0134-c685-00505686a51c,Trow,New York,Manhattan,1900/01,17,1423,3,118,,,NYPL,"New York City directory, 1900-1901",
nypl,4bbe4400-317a-0134-a4bf-00505686a51c,Trow,New York,Manhattan,1901/02,17,1499,3,21,,,NYPL,"New York City directory, 1901-1902",
nypl,4bc19ad0-317a-0134-502b-00505686a51c,Trow,New York,Manhattan,1902/03,17,1555,3,23,,,NYPL,"New York City directory, 1902-1903",
nypl,4bc4d9e0-317a-0134-5d2d-00505686a51c,Trow,New York,Manhattan,1903/04,17,1418,3,26,,,NYPL,"New York City directory, 1903-1904",
nypl,4bc7db80-317a-0134-c859-00505686a51c,Trow,New York,Manhattan,1904/05,17,1500,3,22,,,NYPL,"New York City directory, 1904-1905",
nypl,4bcaca10-317a-0134-7c7e-00505686a51c,Trow,New York,Manhattan,1905/06,17,1580,3,32,,,NYPL,"New York City directory, 1905-1906",
nypl,4bcdb5d0-317a-0134-3cd0-00505686a51c,Trow,New York,Manhattan,1906/07,17,1679,3,22,,,NYPL,"New York City directory, 1906-1907",
nypl,4bd0ba90-317a-0134-ad5e-00505686a51c,Trow,New York,Manhattan,1907/08,17,1844,3,24,,,NYPL,"New York City directory, 1907-1908",
nypl,4bd398b0-317a-0134-086f-00505686a51c,Trow,New York,Manhattan,1908/09,17,1609,3,30,,,NYPL,"New York City directory, 1908-1909",
nypl,4bd67790-317a-0134-404c-00505686a51c,Trow,New York,Manhattan,1909/10,17,1628,3,38,,,NYPL,"New York City directory, 1909-1910",
nypl,4bf06f90-317a-0134-0a99-00505686a51c,Trow,New York,Manhattan,1910/11,17,1648,3,39,,,NYPL,"New York City directory, 1910-1911",
nypl,4bf44f30-317a-0134-fb14-00505686a51c,Trow,New York,Manhattan,1911/12,17,1789,3,71,,,NYPL,"New York City directory, 1911-1912",
nypl,4bf86fa0-317a-0134-ad91-00505686a51c,Trow,New York,Manhattan,1912/13,17,1738,3,33,,,NYPL,"New York City directory, 1912-1913",
nypl,4bfc3730-317a-0134-db31-00505686a51c,Trow,New York,Manhattan,1913/14,17,1403,4,70,,,NYPL,"New York City directory, 1913-1914",
nypl,4bff59f0-317a-0134-1775-00505686a51c,Polk,New York,Manhattan,1915-pt1,201,1328,5,239,,,NYPL,"New York City directory, 1915, part 1",
nypl,4c027d50-317a-0134-c02c-00505686a51c,Polk,New York,Manhattan,1915-pt2,1329,1996,5,1334,,,NYPL,"New York City directory, 1915, part 2",
nypl,4c058b30-317a-0134-8813-00505686a51c,Polk,New York,Manhattan,1916,151,1822B,5,158,,,NYPL,"New York City directory, 1916","Final page sequence is 1822, 1822A, 1822B"
nypl,4c08ab00-317a-0134-ec38-00505686a51c,Polk,New York,Manhattan,1917,229,2088,5,240,,,NYPL,"New York City directory, 1917",
nypl,4c0bac70-317a-0134-2361-00505686a51c,Polk,New York,Manhattan,1918,201,2047,5,228,,,NYPL,"New York City directory, 1918",
nypl,4c11d740-317a-0134-5877-00505686a51c,Polk/Trow,New York,Manhattan,1920/21,201,1955,5,280,,,NYPL,"New York City directory, 1920-1921",
nypl,4c14dd90-317a-0134-8f4d-00505686a51c,Polk,New York,Manhattan,1921/22,251,1894,5,427,,,NYPL,"New York City directory, 1922-1923",
nypl,d2f69040-81b0-0134-b74c-00505686a51c,Duncan,New York,Manhattan,1792,,,,,,,NYPL,"New York City directory, 1792",
nypl,18053ac0-81b2-0134-d9c8-00505686a51c,Duncan,New York,Manhattan,1793,,,,,,,NYPL,"New York City directory, 1793",
nypl,dc1b4800-81b3-0134-cf90-00505686a51c,Duncan/McComb,New York,Manhattan,1794,,,,,,,NYPL,"New York City directory, 1794, copy 1",
nypl,27e2abb0-81b7-0134-dafd-00505686a51c,Duncan,New York,Manhattan,1795,,,,,,,NYPL,"New York City directory, 1795",
nypl,368ba4c0-8432-0134-ff89-00505686a51c,Longworth,New York,Manhattan,1797,,,1,,,,NYPL,New York City directory,
nypl,648a0b80-8432-0134-6631-00505686a51c,Longworth,New York,Manhattan,1797,,,1,,,,NYPL,New York City directory,
nypl,6ac452c0-81c6-0134-69c6-00505686a51c,Longworth,New York,Manhattan,1798,,,1,,,,NYPL,"New York City directory, 1798",
nypl,acf65220-81d1-0134-1bca-00505686a51c,Longworth,New York,Manhattan,1799,,,1,,,,NYPL,"New York City directory, 1799",
nypl,e28a9180-81d4-0134-b707-00505686a51c,Longworth,New York,Manhattan,1800,,,1,,,,NYPL,"New York City directory, 1800",
nypl,4fc05840-5cec-0134-4691-00505686a51c,Longworth,New York,Manhattan,1801/02,,,1,,,,NYPL,"New York City directory, 1801-1802",
nypl,f735b210-5cec-0134-3ec5-00505686a51c,Longworth,New York,Manhattan,1802/03,,,1,,,,NYPL,"New York City directory, 1802-1803",
